"parkingstreetkey","USRN","StreetName","parkingZoneKey"
"3480","8400053","Hinde Street","52"
"5139","8400053","Hinde Street","52"
"1774","8400054","Clifton Place","50"
"5786","8400054","Clifton Place","50"
"2979","8400054","Clifton Place","50"
"186","8400055","Clifton Road","23"
"1775","8400055","Clifton Road","24"
"1776","8400055","Clifton Road","24"
"5119","8400055","Clifton Road","29"
"5120","8400055","Clifton Road","50"
"2980","8400055","Clifton Road","9"
"187","8400056","Clifton Villas","36"
"1777","8400056","Clifton Villas","37"
"2981","8400056","Clifton Villas","28"
"5469","8400056","Clifton Villas","28"
"1778","8400057","Clipstone Mews","51"
"2982","8400057","Clipstone Mews","51"
"5787","8400057","Clipstone Mews","51"
"1779","8400058","Clipstone Street","51"
"5788","8400058","Clipstone Street","51"
"2983","8400058","Clipstone Street","51"
"2375","8400059","Hobart Place","3"
"3482","8400059","Hobart Place","3"
"6084","8400059","Hobart Place","3"
"2377","8400060","Hogan Mews","15"
"3484","8400060","Hogan Mews","15"
"6086","8400060","Hogan Mews","15"
"2378","8400061","Holbein Place","3"
"3485","8400061","Holbein Place","3"
"6087","8400061","Holbein Place","3"
"2380","8400062","Hollen Street","57"
"5078","8400062","Hollen Street","57"
"3486","8400062","Hollen Street","57"
"2382","8400063","Holles Street","52"
"3487","8400063","Holles Street","52"
"5140","8400063","Holles Street","52"
"5849","8400064","Delaware Road","29"
"3084","8400064","Delaware Road","29"
"1910","8400064","Delaware Road","29"
"1911","8400065","Dell's Mews","2"
"3085","8400065","Dell's Mews","2"
"5850","8400065","Dell's Mews","2"
"1912","8400066","Denbigh Mews","2"
"3086","8400066","Denbigh Mews","2"
"5851","8400066","Denbigh Mews","2"
"1913","8400067","Denbigh Place","2"
"3087","8400067","Denbigh Place","2"
"4876","8400067","Denbigh Place","2"
"1780","8400068","Cliveden Place","3"
"2984","8400068","Cliveden Place","3"
"5789","8400068","Cliveden Place","3"
"1781","8400069","Coach And Horses Yard","47"
